Timestamp,Hour_00,Hour_01,Hour_02,Hour_03,Hour_04,Hour_05,Hour_06,Hour_07,Hour_08,Hour_09,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23
2024-08-09,136.549969,130.803887,133.314976,130.874379,134.968583,133.786333,151.637739,155.972719,176.920901,171.669584,168.087796,173.093590,170.075442,164.626242,165.414310,170.057064,173.836275,176.703005,181.034381,175.607243,176.559685,157.070149,153.261290,146.437432
2024-08-10,137.527218,137.774075,135.405278,133.705940,135.825408,135.674249,145.011178,150.257468,158.681723,155.069417,153.249156,157.818306,156.302336,155.712642,152.088528,151.961989,152.074984,163.558646,161.030628,164.184811,154.661437,150.296776,147.784669,145.235185
2024-08-11,130.029132,133.039320,133.501665,132.924068,130.142081,134.666511,145.508005,153.166332,171.581471,166.092717,163.289900,165.699605,163.339736,164.514496,158.538453,165.353172,167.174757,171.352337,174.465232,170.208501,164.686887,155.339801,147.808084,143.273365
2024-08-12,130.907118,136.332506,133.678866,131.663858,131.310971,135.763617,145.197676,143.929327,157.791200,146.289307,145.051090,145.492416,149.161451,147.944496,148.736336,150.885007,147.040741,154.846328,153.993614,150.632755,151.579628,144.616562,143.613350,138.678131
2024-08-13,132.815700,131.959322,133.850121,135.937978,133.956442,135.933062,149.978239,163.248272,181.882388,173.844254,173.381573,172.602729,177.962616,171.801650,168.231324,176.051034,174.826305,179.662488,182.299272,178.830666,176.561712,161.346582,156.393917,153.055949
2024-08-14,135.167093,131.368943,133.120730,137.263618,134.124427,136.197925,152.410465,157.406248,181.132955,171.361535,168.817576,174.402427,170.882742,168.728898,166.182655,174.358939,175.511361,175.878879,187.624480,173.161991,178.301240,160.163477,154.683431,152.615023
2024-08-15,130.519753,134.588147,133.079232,130.140827,133.483620,137.080705,144.635409,147.227876,155.547408,150.850757,151.348718,155.403759,153.467144,152.775031,148.781994,150.154182,151.417125,154.527658,158.348126,157.849314,154.226030,145.801193,142.716859,141.934143
2024-08-16,137.127907,132.100812,133.490896,134.454413,133.064041,139.175423,155.936245,161.461367,181.208865,183.359157,175.247326,184.928585,177.770570,179.275264,172.996682,181.837880,180.119225,188.436825,190.769602,189.625744,186.704812,162.277538,157.339140,151.545998
2024-08-17,131.326992,128.843235,133.580127,132.878570,130.905090,135.579651,145.812199,152.414527,168.375362,160.626184,157.998025,164.646620,159.644692,161.821156,155.822984,164.413902,166.324011,167.207036,169.953578,164.273935,159.093321,152.626319,149.917730,145.173081
2024-08-18,133.477045,130.277270,131.520673,128.371616,131.279273,132.020647,144.257295,147.724566,162.776938,155.592518,149.249295,155.393632,155.232066,150.368985,149.890967,151.763374,156.521697,154.423019,162.980755,154.710083,158.868332,148.269264,145.248278,142.630026
2024-08-19,136.325337,134.679031,134.431156,132.169196,135.438135,132.458388,145.835145,156.401285,175.812628,169.798120,167.866519,173.560992,168.257044,169.325898,165.117579,173.780787,174.244070,177.944028,178.558933,173.094670,172.459526,160.595988,156.162852,148.459399
2024-08-20,133.287929,133.106464,134.155989,131.933415,131.736070,137.293818,151.526806,157.376167,177.151968,168.634146,171.680030,170.627752,167.825003,164.768092,168.085220,169.958973,172.457671,170.892791,186.098308,171.842570,171.776068,158.219758,153.525789,146.053125
2024-08-21,133.888955,133.526146,134.242839,133.106652,134.047678,133.301460,149.611798,152.801421,170.547754,168.271520,161.965453,166.368299,168.190241,161.198125,159.758098,168.695792,168.406857,174.981391,174.676002,167.292409,166.733287,154.780857,152.522514,148.677187
2024-08-22,134.104998,137.085327,133.696685,133.995006,130.208155,137.324128,147.113783,162.167991,185.558907,172.321262,171.541316,176.755290,171.661228,174.063687,170.670799,176.654999,173.006031,184.020389,187.497886,175.933539,177.930366,161.197697,156.514036,150.485184
2024-08-23,134.655368,132.071842,133.804019,133.224469,131.542138,135.116204,148.579769,152.654709,165.140296,156.957408,158.858821,157.623320,155.424576,158.422455,152.876858,160.877659,160.951877,161.281867,170.045982,163.926371,162.022144,153.041108,145.770962,144.269887
2024-08-24,133.862871,137.869779,136.595196,131.212587,135.366033,138.357859,149.133914,154.027066,166.521276,162.506624,162.111257,159.255938,162.763137,157.526215,155.745696,164.719741,161.465539,166.790977,173.214287,166.570403,160.967603,151.541351,147.273924,147.058998
2024-08-25,134.943988,132.913353,130.111435,130.642127,132.613916,133.951618,142.400503,149.222263,167.928508,161.172780,158.362189,160.897906,161.075442,160.199774,159.282283,163.287860,164.065036,164.988406,171.156968,166.829341,166.783681,154.318550,145.551949,145.132075
2024-08-26,131.567642,131.257595,133.130200,132.989205,133.022536,131.681147,150.686426,152.926907,166.458326,162.233913,159.369216,168.030093,161.730980,163.789726,161.541388,163.328963,163.655219,167.176213,172.417165,164.009627,167.978500,156.299617,147.608899,144.500389
2024-08-27,135.750793,135.796053,132.691211,131.986135,131.611652,137.746651,151.008848,158.107273,176.386873,169.924257,168.614299,174.479875,172.918412,166.700390,164.938469,169.647618,170.813743,181.738793,180.627359,171.183940,176.372461,156.096294,152.081494,146.837079
2024-08-28,133.971510,135.100687,131.885063,133.112353,131.478349,133.743121,145.219121,150.925384,164.162512,162.742140,158.880928,160.415971,159.779087,160.251687,157.890998,159.318473,159.331602,166.142283,168.030891,165.443044,165.284206,151.939622,150.226904,145.293134
2024-08-29,136.726861,134.487588,132.386758,131.337253,135.110737,134.472116,141.785006,150.180535,165.755642,159.918520,157.255466,156.366868,160.598362,153.554477,154.371682,157.540223,158.657894,159.548237,164.143163,160.724803,157.252358,150.705814,148.446230,143.939285
2024-08-30,136.281243,133.206286,133.274204,135.466203,132.223365,136.206196,153.774191,167.811990,196.314164,181.903009,177.852201,182.493284,185.451476,181.020939,175.300865,183.837197,184.804476,183.134309,197.462915,186.427744,182.662016,165.384656,158.362050,153.835694
2024-08-31,136.302939,134.098962,132.838611,133.821664,130.822137,136.790268,151.862397,156.601105,177.704565,171.449730,166.098326,170.092306,170.769439,163.656516,163.463865,167.532095,167.204700,172.975395,176.628042,170.886585,172.874204,156.867381,154.220859,149.400320
2024-09-01,135.004443,136.263122,134.311670,134.705662,133.237785,136.118938,152.929315,165.740196,198.553064,191.849228,187.254714,189.840267,191.025296,182.285875,182.251337,193.263040,190.996454,196.348135,202.807947,195.761340,190.838476,170.197650,163.067548,155.887063
2024-09-02,134.364051,132.138087,135.316988,135.611595,132.039741,135.010931,144.599515,152.282795,163.069883,159.670321,157.179320,159.781712,159.354340,156.685089,156.605753,163.763595,162.735002,164.235972,167.946531,161.992841,163.876008,153.740346,147.262447,142.903200
